member_id,lat,lon,stay_datetime,stay_duration_min
M00267,35.666171,139.757869,2024-03-01 13:06:00,162.5
M00330,35.667301,139.756875,2024-03-06 14:21:00,44.0
M00043,35.665773,139.757664,2024-03-06 19:05:00,11.5
M01667,35.665268,139.75764,2024-03-02 12:28:00,58.8
M01375,35.66565,139.75771,2024-03-04 07:17:00,7.8
M00034,35.666073,139.757415,2024-03-01 19:41:00,6.2
M01147,35.665978,139.757696,2024-03-05 08:48:00,9.8
M00395,35.663768,139.755755,2024-03-03 09:20:00,256.6
M00802,35.662739,139.75606,2024-03-05 16:02:00,411.9
M01020,35.666387,139.758434,2024-03-02 11:04:00,203.2
M01049,35.665726,139.757569,2024-03-03 13:52:00,7.8
M01166,35.666247,139.756794,2024-03-04 18:51:00,87.7
M00005,35.664324,139.758334,2024-03-06 22:36:00,116.7
M01155,35.665899,139.758065,2024-03-03 07:56:00,13.5
M01375,35.666204,139.756804,2024-03-03 19:15:00,45.6
M01320,35.665884,139.757357,2024-03-01 17:39:00,3.5
M00882,35.665248,139.757651,2024-03-06 16:08:00,21.3
M00417,35.665171,139.758372,2024-03-05 20:25:00,79.5
M00697,35.666152,139.757802,2024-03-04 10:27:00,450.4
M00040,35.662728,139.756094,2024-03-02 11:34:00,225.8
M01262,35.666634,139.758124,2024-03-07 10:58:00,361.4
M00132,35.664979,139.75622,2024-03-05 15:47:00,32.4
M02000,35.663374,139.755636,2024-03-07 18:23:00,344.8
M01969,35.663431,139.755614,2024-03-03 14:57:00,364.5
M01543,35.6648,139.757903,2024-03-06 13:14:00,30.6
M00143,35.663791,139.755828,2024-03-01 13:51:00,385.5
M00044,35.665937,139.75731,2024-03-06 19:29:00,11.5
M01146,35.666064,139.75737,2024-03-07 08:02:00,11.3
M01998,35.665496,139.75874,2024-03-06 22:13:00,72.9
M00249,35.664458,139.7572,2024-03-04 10:40:00,56.3
M00547,35.665628,139.757365,2024-03-04 18:23:00,6.9
M01750,35.666527,139.75819,2024-03-04 17:36:00,393.0
M00785,35.66471,139.758751,2024-03-07 19:51:00,146.0
M01754,35.666024,139.75729,2024-03-04 10:43:00,36.2
M00859,35.662782,139.75615,2024-03-01 18:47:00,289.5
M01106,35.665738,139.757438,2024-03-02 19:23:00,13.1
M00742,35.665147,139.758287,2024-03-01 20:48:00,169.3
M00530,35.666371,139.758442,2024-03-06 10:33:00,306.1
M00181,35.667492,139.757646,2024-03-06 18:11:00,276.3
M00669,35.664436,139.757238,2024-03-04 13:27:00,43.3
M00416,35.665825,139.757518,2024-03-03 18:20:00,12.1
M01521,35.666,139.75778,2024-03-05 17:44:00,8.3
M00592,35.663322,139.755556,2024-03-05 17:59:00,441.7
M00837,35.665285,139.757775,2024-03-05 12:12:00,39.7
M00708,35.665524,139.758837,2024-03-03 21:23:00,155.1
M01187,35.66574,139.757862,2024-03-03 19:02:00,9.0
M00989,35.664404,139.758323,2024-03-05 21:01:00,155.1
M01992,35.666554,139.757854,2024-03-01 22:44:00,149.8
M00543,35.665486,139.757616,2024-03-02 17:22:00,19.6
M00625,35.665767,139.757629,2024-03-06 17:01:00,18.5
M00934,35.663984,139.757533,2024-03-07 18:29:00,83.8
M01727,35.666014,139.757243,2024-03-05 09:36:00,31.9
M00865,35.665855,139.757264,2024-03-06 19:28:00,19.0
M01529,35.666195,139.756874,2024-03-06 13:42:00,79.6
M01581,35.665076,139.758221,2024-03-04 18:32:00,138.9
M01096,35.665742,139.757101,2024-03-01 07:21:00,12.8
M01903,35.665432,139.756856,2024-03-03 09:32:00,36.3
M01286,35.665573,139.757697,2024-03-04 17:32:00,13.7
M00743,35.665855,139.75807,2024-03-02 21:50:00,71.4
M00159,35.66447,139.757143,2024-03-05 13:19:00,42.7
M01771,35.665721,139.757535,2024-03-05 07:30:00,12.6
M00085,35.665735,139.757708,2024-03-03 18:03:00,5.8
M00122,35.665462,139.756878,2024-03-06 14:58:00,54.4
M00034,35.666027,139.757258,2024-03-04 09:23:00,34.9
M00434,35.665684,139.757856,2024-03-03 07:39:00,10.6
M00648,35.666267,139.757879,2024-03-02 15:08:00,213.4
M01272,35.662797,139.756111,2024-03-02 13:51:00,475.6
M01091,35.666827,139.757225,2024-03-02 21:21:00,167.6
M00147,35.664986,139.756204,2024-03-06 10:24:00,69.6
M00164,35.667492,139.757621,2024-03-05 11:34:00,236.1
M00210,35.666146,139.757309,2024-03-03 08:08:00,4.6
M00138,35.662812,139.756158,2024-03-07 09:19:00,455.6
M00203,35.666469,139.758461,2024-03-02 14:27:00,282.4
M01180,35.663807,139.755786,2024-03-06 10:50:00,159.8
M01706,35.664457,139.757263,2024-03-06 09:52:00,25.1
M00139,35.666583,139.75821,2024-03-03 13:36:00,208.1
M01234,35.666348,139.758448,2024-03-06 11:43:00,283.5
M01359,35.665785,139.75756,2024-03-04 18:24:00,7.1
M00258,35.663779,139.755771,2024-03-01 16:55:00,209.1
M01514,35.665749,139.757764,2024-03-05 08:45:00,12.6
M00788,35.66485,139.757089,2024-03-03 19:09:00,43.6
M00260,35.665727,139.758104,2024-03-07 21:34:00,82.0
M00887,35.666523,139.757909,2024-03-02 18:43:00,97.1
M00223,35.665233,139.75903,2024-03-02 18:05:00,177.6
M00469,35.665843,139.757082,2024-03-05 17:36:00,13.2
M01778,35.663337,139.755606,2024-03-04 14:11:00,434.0
M00818,35.665944,139.757707,2024-03-06 08:55:00,14.4
M00114,35.665911,139.757239,2024-03-05 18:55:00,14.7
M00769,35.66512,139.758368,2024-03-01 22:14:00,138.3
M00007,35.665806,139.757414,2024-03-05 19:58:00,17.5
M00502,35.664478,139.758473,2024-03-02 22:01:00,113.4
M01796,35.664775,139.75714,2024-03-04 12:00:00,61.8
M01262,35.666028,139.757236,2024-03-07 18:00:00,19.7
M00917,35.665403,139.758007,2024-03-04 17:17:00,3.8
M00683,35.66503,139.756592,2024-03-03 12:51:00,64.6
M00247,35.665489,139.758733,2024-03-07 20:53:00,158.0
M00140,35.66606,139.758178,2024-03-05 15:27:00,24.6
M01682,35.663357,139.75555,2024-03-02 12:03:00,326.7
M00743,35.66744,139.757537,2024-03-05 18:58:00,231.6
M01733,35.665743,139.757632,2024-03-04 08:21:00,14.2
M01695,35.666201,139.757796,2024-03-04 11:54:00,169.8
M00861,35.663364,139.75554,2024-03-02 15:55:00,252.7
M02000,35.66664,139.758204,2024-03-05 09:30:00,366.8
M01586,35.663333,139.755595,2024-03-06 15:37:00,342.7
M01870,35.66715,139.758069,2024-03-01 19:31:00,81.7
M00888,35.66402,139.757528,2024-03-03 19:33:00,37.6
M01399,35.665934,139.758096,2024-03-01 15:37:00,21.2
M00422,35.666164,139.757304,2024-03-02 07:21:00,7.2
M01870,35.665662,139.757767,2024-03-01 07:43:00,10.7
M00081,35.665817,139.756935,2024-03-07 19:26:00,19.4
M00940,35.66733,139.756744,2024-03-03 11:37:00,46.9
M00416,35.666013,139.757508,2024-03-02 17:33:00,13.3
M01648,35.664699,139.758626,2024-03-03 22:37:00,147.3
M01113,35.665779,139.757321,2024-03-05 17:02:00,10.8
M00631,35.666406,139.758533,2024-03-03 11:05:00,225.3
M01304,35.665315,139.757726,2024-03-03 12:34:00,39.6
M01859,35.665529,139.756851,2024-03-01 09:27:00,48.1
M00595,35.667516,139.757566,2024-03-07 12:21:00,247.6
M01083,35.665647,139.757695,2024-03-07 19:31:00,18.7
M00366,35.666087,139.757232,2024-03-06 17:27:00,12.9
M01625,35.667506,139.757582,2024-03-04 12:59:00,354.9
M01283,35.665437,139.757692,2024-03-01 19:57:00,13.1
M01789,35.665937,139.757711,2024-03-04 17:09:00,9.6
M01405,35.662789,139.756053,2024-03-03 11:48:00,245.9
M01691,35.664334,139.758401,2024-03-04 20:28:00,73.7
M00712,35.664679,139.758664,2024-03-05 19:16:00,93.6
M01576,35.666672,139.758217,2024-03-07 09:02:00,193.6
M00945,35.663467,139.755642,2024-03-03 13:01:00,419.7
M01856,35.667532,139.757571,2024-03-06 17:10:00,157.1
M00444,35.665571,139.756858,2024-03-04 08:41:00,41.7
M01179,35.665733,139.757403,2024-03-02 18:17:00,4.9
M00957,35.666269,139.757866,2024-03-02 10:52:00,160.4
M01576,35.66476,139.758633,2024-03-07 19:02:00,79.5
M01784,35.66742,139.75758,2024-03-02 12:50:00,471.0
M01579,35.665859,139.757515,2024-03-04 12:11:00,3.3
M01363,35.66624,139.757825,2024-03-05 11:44:00,207.2
M01054,35.666894,139.757284,2024-03-05 19:27:00,103.7
M00432,35.665743,139.75776,2024-03-02 07:20:00,6.0
M00538,35.66575,139.758092,2024-03-03 08:21:00,6.5
M00604,35.664564,139.757247,2024-03-01 08:16:00,47.9
M00216,35.666177,139.757624,2024-03-07 07:40:00,19.3
M01276,35.66695,139.756143,2024-03-07 09:18:00,106.5
M00703,35.664447,139.758459,2024-03-04 19:20:00,164.0
M00907,35.663471,139.755647,2024-03-07 15:04:00,277.5
M01026,35.665692,139.757849,2024-03-01 07:05:00,3.8
M01582,35.665929,139.757251,2024-03-04 17:43:00,7.7
M01999,35.665029,139.756534,2024-03-05 12:04:00,41.8
M01457,35.666118,139.756937,2024-03-04 19:32:00,11.0
M01130,35.664573,139.757172,2024-03-07 14:23:00,42.5
M01279,35.667449,139.757534,2024-03-05 13:13:00,258.5
M01695,35.665684,139.757466,2024-03-02 19:07:00,18.4
M01319,35.665456,139.757901,2024-03-01 19:51:00,13.0
M01863,35.665656,139.757647,2024-03-03 17:45:00,3.8
M01095,35.664802,139.757945,2024-03-04 11:27:00,35.9
M01099,35.665707,139.757289,2024-03-05 17:06:00,13.3
M01107,35.665819,139.757605,2024-03-07 18:32:00,9.3
M01609,35.665348,139.759125,2024-03-02 22:27:00,63.5
M00933,35.665603,139.757212,2024-03-03 17:20:00,11.5
M01931,35.667316,139.756859,2024-03-01 15:19:00,70.3
M01249,35.665785,139.757153,2024-03-05 07:31:00,5.9
M00833,35.666433,139.758463,2024-03-05 11:46:00,421.2
M01441,35.666114,139.756942,2024-03-07 08:10:00,8.9
M00762,35.666045,139.756944,2024-03-02 19:14:00,3.1
M00097,35.666056,139.756966,2024-03-02 08:17:00,7.8
M01110,35.666083,139.757552,2024-03-02 18:50:00,15.8
M01385,35.667975,139.75655,2024-03-04 20:09:00,106.0
M00721,35.666372,139.758447,2024-03-07 14:58:00,236.2
M01244,35.666119,139.756994,2024-03-06 07:27:00,4.7
M01233,35.665789,139.757779,2024-03-07 18:37:00,7.2
M01768,35.66613,139.757224,2024-03-04 19:03:00,6.2
M01056,35.666092,139.757246,2024-03-07 08:58:00,14.1
M00931,35.665653,139.757709,2024-03-07 07:33:00,18.5
M01262,35.665745,139.757467,2024-03-07 07:54:00,11.2
M00236,35.665429,139.757518,2024-03-03 19:07:00,3.4
M00542,35.664047,139.75759,2024-03-02 13:36:00,32.0
M01177,35.665794,139.758019,2024-03-04 18:29:00,12.9
M01326,35.665776,139.757806,2024-03-02 08:32:00,10.5
M01545,35.662827,139.756153,2024-03-01 11:35:00,239.4
M01436,35.665989,139.757327,2024-03-05 13:18:00,29.5
M01255,35.665421,139.757823,2024-03-06 18:29:00,8.6
M00371,35.665804,139.757354,2024-03-05 18:08:00,10.1
M00312,35.665237,139.75913,2024-03-07 21:27:00,107.6
M01275,35.666577,139.75783,2024-03-01 21:08:00,99.6
M00946,35.666466,139.758488,2024-03-03 18:29:00,279.0
M00687,35.665569,139.757875,2024-03-04 19:49:00,9.5
M01767,35.666006,139.757297,2024-03-01 08:04:00,10.7
M01892,35.667306,139.756862,2024-03-05 10:42:00,58.1
M00802,35.662854,139.756054,2024-03-02 13:25:00,392.9
M01082,35.665758,139.757842,2024-03-01 12:53:00,11.0
M00011,35.666141,139.757828,2024-03-05 18:21:00,153.6
M01932,35.663766,139.755868,2024-03-02 12:19:00,321.4
M01443,35.665338,139.757651,2024-03-01 13:45:00,57.8
M00236,35.666678,139.758199,2024-03-03 10:32:00,439.1
M01442,35.666109,139.757451,2024-03-03 17:04:00,18.3
M00097,35.665078,139.756678,2024-03-05 19:43:00,74.9
M01071,35.665831,139.757571,2024-03-05 07:08:00,10.7
M00872,35.666456,139.758446,2024-03-06 12:41:00,477.4
M01816,35.665967,139.757358,2024-03-06 09:56:00,29.7
M01136,35.666485,139.757973,2024-03-02 20:55:00,132.2
M00560,35.666279,139.756844,2024-03-05 12:44:00,57.3
M00259,35.664647,139.758695,2024-03-06 20:19:00,82.9
M00680,35.664344,139.758449,2024-03-03 19:00:00,147.6
M00193,35.667472,139.757611,2024-03-07 13:50:00,194.1
M01230,35.666057,139.757507,2024-03-04 18:19:00,18.5
M00701,35.665821,139.757525,2024-03-01 07:48:00,4.8
M01526,35.666062,139.757728,2024-03-01 08:39:00,11.6
M00126,35.66464,139.758709,2024-03-01 22:24:00,69.4
M01271,35.667453,139.75764,2024-03-06 11:18:00,290.9
M01556,35.66283,139.75612,2024-03-02 17:23:00,405.4
M00421,35.666478,139.758498,2024-03-06 16:46:00,352.1
M01433,35.663856,139.755739,2024-03-02 14:48:00,371.2
M00807,35.667146,139.758031,2024-03-03 12:14:00,66.2
M01827,35.665852,139.757514,2024-03-03 17:45:00,11.9
M01697,35.665025,139.756561,2024-03-02 19:40:00,68.0
M01054,35.66619,139.756858,2024-03-04 18:01:00,45.8
M01389,35.664508,139.75725,2024-03-03 14:31:00,23.3
M00026,35.666167,139.757001,2024-03-02 19:47:00,11.4
M00745,35.666163,139.757777,2024-03-02 14:15:00,446.5
M01084,35.665904,139.757697,2024-03-06 07:01:00,3.5
M01306,35.666039,139.756963,2024-03-06 18:59:00,6.2
M01822,35.665545,139.758803,2024-03-03 22:29:00,100.3
M00872,35.666735,139.757447,2024-03-01 10:35:00,21.4
M00660,35.666062,139.757351,2024-03-03 17:23:00,7.4
M00886,35.665792,139.757223,2024-03-01 08:03:00,4.6
M01969,35.666657,139.758279,2024-03-02 12:11:00,375.8
M00622,35.665776,139.757051,2024-03-04 19:20:00,19.3
M01016,35.666236,139.756785,2024-03-05 12:32:00,30.9
M01226,35.663732,139.755781,2024-03-05 14:40:00,186.2
M01733,35.664444,139.757205,2024-03-06 10:24:00,30.0
M01535,35.664519,139.757268,2024-03-03 10:49:00,49.8
M01612,35.665619,139.757764,2024-03-01 07:39:00,9.4
M01804,35.667065,139.756143,2024-03-01 20:51:00,104.4
M01005,35.662745,139.756021,2024-03-02 16:32:00,354.6
M00378,35.665927,139.757618,2024-03-04 19:35:00,7.9
M01032,35.66522,139.759028,2024-03-06 20:50:00,80.9
M01100,35.665652,139.757682,2024-03-05 08:05:00,9.2
M00908,35.666207,139.757347,2024-03-03 19:59:00,4.8
M00257,35.665495,139.757595,2024-03-05 08:10:00,8.4
M00431,35.665037,139.756653,2024-03-05 18:02:00,31.2
M01866,35.664876,139.757132,2024-03-02 19:55:00,33.4
M01272,35.666112,139.757268,2024-03-05 19:39:00,7.6
M00574,35.666204,139.756824,2024-03-04 13:11:00,34.9
M01311,35.666106,139.757255,2024-03-06 07:00:00,5.2
M00341,35.66555,139.757942,2024-03-02 17:13:00,9.7
M00583,35.664927,139.756251,2024-03-01 11:48:00,77.9
M01409,35.66625,139.75681,2024-03-03 12:00:00,77.7
M01312,35.666635,139.758121,2024-03-06 15:32:00,289.5
M00519,35.665469,139.758726,2024-03-07 19:24:00,134.0
M00088,35.665684,139.758092,2024-03-04 19:39:00,4.2
M01549,35.6661,139.757062,2024-03-05 19:08:00,4.6
M00225,35.667203,139.758153,2024-03-07 19:22:00,77.9
M01273,35.666185,139.757038,2024-03-07 18:36:00,12.9
M00933,35.666193,139.757142,2024-03-06 18:47:00,3.4
M01271,35.665937,139.757264,2024-03-06 08:54:00,12.0
M00231,35.662758,139.756025,2024-03-05 18:40:00,348.4
M01738,35.666158,139.757222,2024-03-04 18:25:00,14.8
M01597,35.665562,139.75876,2024-03-03 19:44:00,158.2
M00406,35.664734,139.757172,2024-03-02 13:30:00,75.1
M00694,35.666252,139.75772,2024-03-01 10:25:00,402.3
M00834,35.665773,139.75772,2024-03-04 08:44:00,14.0
M01910,35.665489,139.757552,2024-03-01 08:17:00,17.1
M00682,35.666182,139.757128,2024-03-02 17:52:00,5.2
M00572,35.663843,139.755858,2024-03-01 12:29:00,134.5
M00100,35.665734,139.757473,2024-03-06 07:04:00,3.9
M01301,35.66338,139.755666,2024-03-03 18:51:00,199.3
M01318,35.666164,139.757359,2024-03-02 07:45:00,7.0
M01978,35.665247,139.757705,2024-03-04 11:04:00,29.0
M01683,35.666005,139.757306,2024-03-05 09:02:00,42.7
M01048,35.665671,139.757736,2024-03-02 13:54:00,13.2
M00598,35.665232,139.759162,2024-03-03 18:08:00,127.8
M01394,35.665272,139.759115,2024-03-07 18:55:00,121.3
M01452,35.666028,139.757639,2024-03-03 07:02:00,7.5
M00950,35.663956,139.757678,2024-03-04 18:31:00,76.6
M00898,35.666626,139.758177,2024-03-05 17:53:00,280.9
M00499,35.666171,139.756835,2024-03-06 12:20:00,78.6
M00753,35.666092,139.757342,2024-03-01 18:43:00,15.2
M00149,35.663737,139.75574,2024-03-06 18:14:00,142.7
M00488,35.664857,139.757027,2024-03-06 13:19:00,57.5
M00120,35.66582,139.757075,2024-03-07 07:07:00,19.6
M00343,35.666033,139.757368,2024-03-03 07:11:00,9.3
M00355,35.665848,139.757346,2024-03-06 07:58:00,13.8
M01701,35.665818,139.758064,2024-03-02 22:19:00,129.8
M01433,35.666367,139.758496,2024-03-05 12:37:00,173.9
M00532,35.665865,139.758152,2024-03-01 19:19:00,170.3
M00882,35.666171,139.757461,2024-03-07 17:38:00,6.3
M01635,35.662785,139.756136,2024-03-03 15:58:00,357.4
M00748,35.665085,139.758345,2024-03-02 22:35:00,76.3
M01985,35.664471,139.757244,2024-03-02 09:58:00,48.4
M01263,35.665606,139.757701,2024-03-01 17:50:00,17.7
M01154,35.6657,139.757172,2024-03-06 08:21:00,5.9
M01316,35.665507,139.758066,2024-03-07 18:33:00,12.9
M01520,35.666175,139.757314,2024-03-03 19:26:00,10.8
M00443,35.665943,139.757433,2024-03-07 17:41:00,10.9
M01366,35.662826,139.756078,2024-03-05 14:32:00,458.6
M01250,35.666291,139.757407,2024-03-04 19:12:00,14.8
M00036,35.666151,139.757225,2024-03-02 19:28:00,10.8
M00419,35.665401,139.757645,2024-03-07 18:35:00,15.5
M00638,35.66529,139.759162,2024-03-02 18:22:00,148.7
M01404,35.665976,139.757753,2024-03-02 18:12:00,9.4
M00973,35.667521,139.757558,2024-03-04 17:39:00,350.9
M01469,35.666113,139.757599,2024-03-03 08:48:00,17.4
M01879,35.665973,139.757273,2024-03-03 09:20:00,53.5
M00181,35.665161,139.758274,2024-03-02 20:11:00,88.8
M01104,35.666126,139.757261,2024-03-02 07:30:00,17.6
M00951,35.667487,139.757579,2024-03-07 18:42:00,140.0
M01591,35.664755,139.758768,2024-03-04 20:04:00,156.6
M01357,35.665743,139.758026,2024-03-07 19:02:00,115.8
M01081,35.665468,139.75886,2024-03-06 18:09:00,158.6
M00363,35.664787,139.757901,2024-03-07 14:39:00,58.0
M01445,35.665619,139.75802,2024-03-04 08:29:00,19.0
M00312,35.667127,139.75808,2024-03-06 13:43:00,88.3
M01871,35.666477,139.758459,2024-03-03 17:28:00,414.0
M01748,35.66567,139.757511,2024-03-05 08:47:00,10.2
M00872,35.665355,139.759048,2024-03-03 21:53:00,165.3
M01796,35.665511,139.7588,2024-03-05 22:34:00,108.9
M00397,35.664819,139.75709,2024-03-01 18:46:00,40.3
M00425,35.666552,139.758183,2024-03-05 12:29:00,162.7
M00944,35.665837,139.757741,2024-03-07 07:15:00,17.2
M01517,35.667551,139.757566,2024-03-04 15:49:00,478.0
M01011,35.665782,139.757265,2024-03-02 17:20:00,16.1
M01436,35.666027,139.757337,2024-03-04 13:47:00,35.0
M00551,35.666175,139.757831,2024-03-01 15:45:00,405.7
M01215,35.665042,139.758256,2024-03-07 20:36:00,96.3
M01470,35.666362,139.758564,2024-03-04 17:59:00,157.0
M00636,35.666082,139.757023,2024-03-04 07:43:00,7.0
